Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	sample-01	sample-02	sample-03	sample-04	sample-05	sample-06	sample-07	sample-08	sample-09	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16	sample-17	sample-18
sp|B3KU38|IQIP1_HUMAN	B3KU38	IQIP1_HUMAN	IQCJ-SCHIP1	563	Homo sapiens	IQCJ-SCHIP1 readthrough transcript protein	1:Experimental evidence at protein level	12.61	1.0000	0.9990	7	0	7	9	0	9	25123516	     0	25123516	14K(304.2071), 16C(57.0214), 18M(15.9949), 19K(304.2071), 4C(57.0214), 7C(57.0214), 7K(304.2071), 8K(304.2071), N-term(304.2071)		sp|P0DPB3|SCHI1_HUMAN	565845.6719	559158.0938	730866.6719	681334.5859	657287.9258	663014.5430	719994.1211	723761.2773	617402.7148	545383.6387	586798.8926	705831.0742	557934.5000	636226.3164	565932.8750	483618.5879	416517.9473	477668.5664
sp|B7ZAP0|RBG10_HUMAN	B7ZAP0	RBG10_HUMAN	RABGAP1L	253	Homo sapiens	Rab GTPase-activating protein 1-like, isoform 10	1:Experimental evidence at protein level	23.32	1.0000	0.9990	6	4	4	9	5	5	23827314	14222914	23827314	10K(304.2071), 15K(304.2071), 1K(304.2071), 9K(304.2071), N-term(304.2071)			368959.4258	384534.2695	505011.0781	470138.7812	457169.3281	473924.4883	500699.7734	480114.7266	420430.7461	468275.7422	540074.9688	612834.3125	498808.5391	566866.6484	547442.8359	551781.0234	522310.0430	506136.8906
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	Homo sapiens	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1:Experimental evidence at protein level	3.71	1.0000	0.9990	6	0	6	62	0	62	1419406368	     0	1419406368	11M(15.9949), 13K(304.2071), 14K(304.2071), 15K(304.2071), 15M(15.9949), 6M(15.9949), 8K(304.2071), N-term(304.2071)			26683687.3799	24631391.4082	30968444.4961	14718872.4316	14677517.8672	26994953.8418	27000587.4160	32481628.5156	25961662.0410	27168089.4141	24840802.0273	20281385.0020	14251725.2246	16428307.8418	15508318.7949	22167368.2559	18890041.0254	21846792.1738
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	Homo sapiens	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1:Experimental evidence at protein level	12.61	1.0000	0.9990	7	7	7	30	30	30	131772120	131772120	131772120	10M(15.9949), 12K(304.2071), 18K(304.2071), 5C(57.0214), 6C(57.0214), 7K(304.2071), 8K(304.2071), N-term(304.2071)			6272014.1699	5900835.0156	7799374.0977	7019797.8926	6841633.4707	6800815.3613	7166593.2891	7197618.3457	6219538.6465	7170603.1367	7781617.9531	9323842.7891	6879548.8320	8003353.9062	7296517.1699	5738973.0586	5257889.0059	5381231.1465
sp|O00139|KIF2A_HUMAN	O00139	KIF2A_HUMAN	KIF2A	706	Homo sapiens	Kinesin-like protein KIF2A	1:Experimental evidence at protein level	34.99	1.0000	0.9990	26	22	26	44	36	44	334594032	317944464	334594032	10K(304.2071), 11K(304.2071), 11M(15.9949), 14C(57.0214), 15K(304.2071), 1C(57.0214), 1K(304.2071), 2C(57.0214), 2K(304.2071), 2M(15.9949), 3M(15.9949), 4M(15.9949), 5C(57.0214), 5M(15.9949), 7K(304.2071), 8C(57.0214), 9K(304.2071), N-term(304.2071)			13709374.3730	13308542.1436	17385909.9785	16656171.6797	16227010.8887	16245822.3359	16471447.9824	16369915.2422	14084929.1260	18606016.7715	19720474.9375	24673547.7754	17066170.1914	19843946.7891	18351040.1992	14306138.1445	12726694.4551	13743252.9668
sp|O00141|SGK1_HUMAN	O00141	SGK1_HUMAN	SGK1	431	Homo sapiens	Serine/threonine-protein kinase Sgk1	1:Experimental evidence at protein level	9.98	1.0000	0.9990	3	3	3	4	4	4	6545557	6545557	6545557	11K(304.2071), 12K(304.2071), 17K(304.2071), 2K(304.2071), 4M(15.9949), 7K(304.2071), N-term(304.2071)			255936.2344	241140.5586	321912.3906	328934.6406	317597.9531	317453.9766	304699.4375	291107.1094	259839.8047	170898.0117	186221.9883	217244.2227	157018.0078	198755.7500	184342.4688	437504.2500	407958.2109	410176.8516
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	Homo sapiens	ATP-dependent RNA helicase DDX39A	1:Experimental evidence at protein level	50.59	1.0000	0.9990	23	9	9	108	30	30	3040322816	868614196	3040322816	11K(304.2071), 15K(304.2071), 16K(304.2071), 1C(57.0214), 1K(304.2071), 2C(57.0214), 2M(15.9949), 3C(57.0214), 3M(15.9949), 4M(15.9949), 6M(15.9949), 7C(57.0214), 9K(304.2071), N-term(304.2071)			3101188.8613	3138600.2656	3981105.8633	3736902.2383	3607235.4238	3673246.2246	3995029.5078	3960374.3203	3366230.3184	4012404.3789	4380745.7578	5073378.1953	3835151.6953	4300659.9258	4032853.9473	2812984.4258	2563759.4590	2726607.9121
sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	Homo sapiens	PDZ and LIM domain protein 1	1:Experimental evidence at protein level	28.88	1.0000	0.9990	7	7	7	14	14	14	472471688	472471688	472471688	11K(304.2071), 1C(57.0214), 26K(304.2071), 32K(304.2071), 5K(304.2071), 8K(304.2071), N-term(304.2071)			5789469.6328	5421201.2344	7013570.5469	6354407.0938	6451005.1562	6205783.3672	6951829.4062	6916203.8906	5983823.9062	7282324.1875	7643792.0312	9180143.0625	6870071.8516	7697377.6406	7271319.0859	4696112.3984	4306512.1641	4333432.4297
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	Homo sapiens	Cytosolic acyl coenzyme A thioester hydrolase	1:Experimental evidence at protein level	25.26	1.0000	0.9990	11	10	11	33	32	33	427022060	427022060	427022060	16K(304.2071), 1K(304.2071), 20K(304.2071), 2C(57.0214), 2M(15.9949), 3C(57.0214), 5K(304.2071), 7K(304.2071), 9K(304.2071), N-term(304.2071)			6798675.4766	6322285.8945	8349867.7812	7628904.5859	7952393.0312	7812766.9375	7967842.6328	7802905.7227	6731081.1133	7433029.9727	7809343.3555	9198233.7578	7048690.4648	7839443.5273	7128948.5820	4810821.5586	4404473.8516	4409815.5957
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	Homo sapiens	Unconventional myosin-Ic	1:Experimental evidence at protein level	21.07	1.0000	0.9990	26	26	26	36	36	36	230979392	230979392	230979392	10K(304.2071), 11K(304.2071), 14K(304.2071), 15K(304.2071), 16K(304.2071), 18K(304.2071), 1C(57.0214), 1K(304.2071), 2K(304.2071), 3C(57.0214), 3K(304.2071), 3M(15.9949), 5K(304.2071), 5M(15.9949), 6M(15.9949), 7K(304.2071), 8K(304.2071), 9C(57.0214), 9K(304.2071), N-term(304.2071)			7233151.7344	6746822.5664	9267581.8789	8255450.4375	8087929.6152	8534250.3613	8850037.1484	8961870.7773	7669472.6914	7959499.6504	8235141.9805	10094510.2676	7955126.9727	9051274.8906	8140019.9180	7648996.9297	6532794.3945	7628259.5527
sp|O00165|HAX1_HUMAN	O00165	HAX1_HUMAN	HAX1	279	Homo sapiens	HCLS1-associated protein X-1	1:Experimental evidence at protein level	10.39	1.0000	0.9990	3	3	3	4	4	4	29522071	29522071	29522071	10M(15.9949), N-term(304.2071)			151122.5391	145264.7070	196151.2969	173786.7930	179741.3594	188118.3477	181195.4609	189502.8359	156518.5938	188553.1250	214417.3672	258467.1445	223470.6133	235444.9570	206820.0078	142158.8535	116128.9688	128365.9297
sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	330	Homo sapiens	AH receptor-interacting protein	1:Experimental evidence at protein level	14.55	1.0000	0.9990	5	5	5	6	6	6	41847810	41847810	41847810	10K(304.2071), 12K(304.2071), 17K(304.2071), 2K(304.2071), 7K(304.2071), 9C(57.0214), N-term(304.2071)			481478.7773	485401.6914	629582.0352	583374.5234	562748.0664	579109.8027	616092.7207	594953.8828	514526.9668	598008.6660	637507.3633	805933.1250	544255.8125	597035.9180	564978.4395	391187.0703	360962.4355	357556.3047
sp|O00178|GTPB1_HUMAN	O00178	GTPB1_HUMAN	GTPBP1	669	Homo sapiens	GTP-binding protein 1	1:Experimental evidence at protein level	36.62	1.0000	0.9990	20	19	20	46	45	46	358517728	323948208	358517728	10K(304.2071), 10M(15.9949), 11K(304.2071), 12C(57.0214), 13K(304.2071), 14K(304.2071), 18K(304.2071), 1K(304.2071), 27K(304.2071), 2K(304.2071), 2M(15.9949), 3M(15.9949), 4C(57.0214), 4M(15.9949), 7C(57.0214), 7K(304.2071), 8K(304.2071), 9C(57.0214), 9K(304.2071), 9M(15.9949), N-term(304.2071)			6953411.9619	6991048.7139	9349539.5488	8333571.9033	8049667.0352	8156916.4443	8602087.7539	8688424.2549	7769281.5840	8308302.6211	11808159.4033	19733085.1133	13380836.3125	11263274.8477	14533939.0156	6576465.2744	6261157.3760	5253660.4287
sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	592	Homo sapiens	Syntaxin-binding protein 3	1:Experimental evidence at protein level	15.54	1.0000	0.9990	9	9	9	15	15	15	31940606	31940606	31940606	10K(304.2071), 10M(15.9949), 11C(57.0214), 11K(304.2071), 12M(15.9949), 14K(304.2071), 1C(57.0214), 1K(304.2071), 2K(304.2071), 2M(15.9949), 3M(15.9949), 7K(304.2071), 9K(304.2071), N-term(304.2071)			1456494.3994	1410797.5850	1845782.6816	1678843.8945	1644444.2754	1668850.8828	1803491.2256	1762090.1211	1532653.5566	1671425.9980	1834758.5137	2181304.3418	1860464.2441	1981759.8281	1836596.6934	1567072.4727	1469777.6729	1480206.6035
sp|O00189|AP4M1_HUMAN	O00189	AP4M1_HUMAN	AP4M1	453	Homo sapiens	AP-4 complex subunit mu-1	1:Experimental evidence at protein level	8.39	1.0000	0.9990	4	4	4	4	4	4	15137820	15137820	15137820	11K(304.2071), N-term(304.2071)			315708.5156	299195.0547	400671.2188	360563.0391	366542.9648	349552.8398	394359.6367	398136.5859	330503.8398	382684.4688	423383.9922	493042.7305	384245.2578	436708.0586	389430.7344	307794.6094	278209.0957	304657.4551
sp|O00192|ARVC_HUMAN	O00192	ARVC_HUMAN	ARVCF	962	Homo sapiens	Armadillo repeat protein deleted in velo-cardio-facial syndrome	1:Experimental evidence at protein level	13.72	1.0000	0.9990	13	13	13	17	17	17	121842612	121842612	121842612	17K(304.2071), 18K(304.2071), 1K(304.2071), 2C(57.0214), 4C(57.0214), 5C(57.0214), 7C(57.0214), 7K(304.2071), 8K(304.2071), 9K(304.2071), 9M(15.9949), N-term(304.2071), N-term(42.0106)			2723985.0850	2532359.5850	3499774.1680	3389899.2109	3472607.7988	3280972.7217	3384152.9062	3342615.3184	3230423.1406	3102594.7637	3305421.0918	3762949.7500	3057900.6836	3491734.5254	3236701.1797	2821866.0312	2401322.5879	2588274.9434
sp|O00193|SMAP_HUMAN	O00193	SMAP_HUMAN	SMAP	183	Homo sapiens	Small acidic protein	1:Experimental evidence at protein level	20.77	1.0000	0.9990	5	5	5	22	22	22	444201214	444201214	444201214	13M(15.9949), 14M(15.9949), 16K(304.2071), 17K(304.2071), 1K(304.2071), 6K(304.2071), 7K(304.2071), 8K(304.2071), N-term(304.2071)			8618180.1211	8368362.6738	10594920.2832	10225601.4258	10012875.9121	10047297.6504	10457715.3496	10970200.5215	9003036.0957	11389417.5918	11753699.3477	14308540.2656	9535654.5938	10771767.7129	10004246.1328	4934388.2861	4434259.7041	4433764.3291
sp|O00203|AP3B1_HUMAN	O00203	AP3B1_HUMAN	AP3B1	1094	Homo sapiens	AP-3 complex subunit beta-1	1:Experimental evidence at protein level	21.21	1.0000	0.9990	25	19	25	42	33	42	147078968	143292408	147078968	10K(304.2071), 11K(304.2071), 13K(304.2071), 14K(304.2071), 15K(304.2071), 1K(304.2071), 2M(15.9949), 3K(304.2071), 6M(15.9949), 7K(304.2071), 8K(304.2071), 8M(15.9949), 9K(304.2071), 9M(15.9949), N-term(304.2071)			6019021.1523	5472353.4658	7124876.4785	6427171.9160	6245703.2227	6403355.0156	7221023.3770	7058960.3320	6173335.1758	6763769.3926	7391985.1152	8777921.0840	6670214.7676	7605122.0938	7215015.4121	4963632.8281	4468954.3887	4718595.8965
sp|O00217|NDUS8_HUMAN	O00217	NDUS8_HUMAN	NDUFS8	210	Homo sapiens	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1:Experimental evidence at protein level	29.52	1.0000	0.9990	6	6	6	13	13	13	90028584	90028584	90028584	11K(304.2071), 2C(57.0214), 4M(15.9949), 5M(15.9949), 6C(57.0214), 7K(304.2071), N-term(304.2071)			2441765.2461	2279168.0742	3017206.8086	2672189.3438	2561539.7695	2551136.2695	2877677.1836	2855761.6523	2406146.6836	3264751.3828	3391104.0547	4072283.7344	2810965.9805	3279514.9102	2998160.8281	1053766.8652	994090.2227	1021565.3506
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	Homo sapiens	26S proteasome non-ATPase regulatory subunit 11	1:Experimental evidence at protein level	54.03	1.0000	0.9990	25	25	25	101	101	101	1969805824	1969805824	1969805824	10K(304.2071), 11K(304.2071), 12K(304.2071), 12M(15.9949), 13K(304.2071), 14K(304.2071), 15K(304.2071), 16K(304.2071), 18K(304.2071), 1C(57.0214), 1K(304.2071), 2M(15.9949), 4M(15.9949), 5M(15.9949), 7K(304.2071), 7M(15.9949), 8C(57.0214), 8K(304.2071), 9K(304.2071), N-term(304.2071), N-term(42.0106)			39107258.5078	36305241.1953	48294085.2246	44086918.7520	43322572.7188	42480266.2930	46216325.7793	46888160.2188	40226134.9258	52023993.9629	53032348.9629	64391814.7246	44285523.0117	55670300.5586	48601022.9531	33344768.1895	29979722.8350	31828042.7656
sp|O00232|PSD12_HUMAN	O00232	PSD12_HUMAN	PSMD12	456	Homo sapiens	26S proteasome non-ATPase regulatory subunit 12	1:Experimental evidence at protein level	22.81	1.0000	0.9990	13	13	13	53	53	53	949720544	949720544	949720544	10K(304.2071), 10M(15.9949), 14K(304.2071), 1K(304.2071), 2K(304.2071), 3M(15.9949), 5M(15.9949), 7K(304.2071), 8M(15.9949), N-term(304.2071)			18784640.5469	18304916.9023	24245472.7266	22649232.7539	20919865.2715	22143186.5312	22585184.0859	22951852.6484	20043427.7676	25528305.7617	27062243.4785	33316935.3477	22119635.8281	27021041.3848	24221500.6641	17567313.9121	15598243.0215	16502059.3770
sp|O00233|PSMD9_HUMAN	O00233	PSMD9_HUMAN	PSMD9	223	Homo sapiens	26S proteasome non-ATPase regulatory subunit 9	1:Experimental evidence at protein level	22.87	1.0000	0.9990	4	4	4	13	13	13	92063481	92063481	92063481	11C(57.0214), 11K(304.2071), 4M(15.9949), 5C(57.0214), N-term(304.2071)			607325.2373	624591.4316	797750.0117	722215.5566	706760.3262	707775.2490	723677.8125	733574.4062	662495.6113	806497.1465	873187.1738	1088529.1543	818939.7266	919099.0449	886619.5469	673550.3096	613221.3252	630604.6279
sp|O00255|MEN1_HUMAN	O00255	MEN1_HUMAN	MEN1	615	Homo sapiens	Menin	1:Experimental evidence at protein level	14.80	1.0000	0.9990	10	10	10	16	16	16	124892644	124892644	124892644	11K(304.2071), 11M(15.9949), 12K(304.2071), 13K(304.2071), 1K(304.2071), 3K(304.2071), 4K(304.2071), 7K(304.2071), N-term(304.2071)			2405752.3828	2310263.0938	3112520.7031	2688401.7891	2826562.6484	2696391.8438	3024223.5000	2984996.0391	2539709.0938	2932747.5234	3214107.2734	3901680.6875	2967590.3438	3430216.3203	3126815.8828	2062495.8672	2293595.6133	1898748.9062
sp|O00257|CBX4_HUMAN	O00257	CBX4_HUMAN	CBX4	560	Homo sapiens	E3 SUMO-protein ligase CBX4	1:Experimental evidence at protein level	6.61	1.0000	0.9990	4	4	4	4	4	4	13293520	13293520	13293520	11K(304.2071), 1K(304.2071), 5M(15.9949), 7K(304.2071), N-term(304.2071)			181291.5781	173981.8906	257008.0781	248562.1328	255790.1641	250091.7422	238609.2734	215499.6641	215885.6055	268013.2656	274914.9609	327845.9062	285667.2578	313171.3125	296888.1562	195237.7109	187383.4844	188572.6133
sp|O00258|WRB_HUMAN	O00258	WRB_HUMAN	WRB	174	Homo sapiens	Tail-anchored protein insertion receptor WRB	1:Experimental evidence at protein level	18.97	1.0000	0.9990	3	3	3	8	8	8	23912901	23912901	23912901	8M(15.9949), 9M(15.9949), N-term(304.2071)			232049.0723	216954.6172	277973.3438	241592.3887	246092.6035	239821.4434	275264.3203	272458.7715	231228.1387	298226.2500	353515.5781	385893.9648	290519.8340	320878.3711	298375.0410	219104.3027	197697.1621	200298.1885
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	Homo sapiens	Membrane-associated progesterone receptor component 1	1:Experimental evidence at protein level	28.21	1.0000	0.9990	7	6	7	21	19	21	257144126	250778260	257144126	15K(304.2071), 3M(15.9949), 6C(57.0214), 8K(304.2071), 9K(304.2071), N-term(304.2071)			3867425.4297	3596821.7344	4764005.6641	4299946.2188	4201615.6523	4169393.1875	4679639.8867	4582216.8359	3996178.5469	5780755.9609	6129473.2266	7135363.1250	5039291.9453	5981057.4062	5380394.7266	4558579.2109	4167644.7031	4369028.9766
sp|O00267|SPT5H_HUMAN	O00267	SPT5H_HUMAN	SUPT5H	1087	Homo sapiens	Transcription elongation factor SPT5	1:Experimental evidence at protein level	34.50	1.0000	0.9990	32	31	32	71	66	71	1394951952	1394951952	1394951952	10C(57.0214), 10M(15.9949), 11K(304.2071), 12K(304.2071), 12M(15.9949), 13C(57.0214), 14K(304.2071), 15C(57.0214), 16K(304.2071), 19K(304.2071), 23K(304.2071), 25K(304.2071), 28K(304.2071), 2M(15.9949), 3M(15.9949), 4M(15.9949), 5K(304.2071), 7C(57.0214), 7K(304.2071), 7M(15.9949), 8K(304.2071), 9K(304.2071), N-term(304.2071)			13861685.4834	12818180.8184	16558745.2871	14841184.2109	15123525.1543	14740892.8809	16507437.4902	16167823.3359	14088597.1562	17033502.1602	18483251.2422	21135052.2715	17308434.6113	19232694.3867	18718676.9863	9912128.8418	9118248.1934	9208719.6113
sp|O00268|TAF4_HUMAN	O00268	TAF4_HUMAN	TAF4	1085	Homo sapiens	Transcription initiation factor TFIID subunit 4	1:Experimental evidence at protein level	14.29	1.0000	0.9990	14	13	14	21	20	21	58413448	46559779	58413448	10K(304.2071), 10M(15.9949), 11M(15.9949), 16M(15.9949), 20K(304.2071), 21K(304.2071), 2K(304.2071), 2M(15.9949), 7K(304.2071), 8K(304.2071), N-term(304.2071)			2671231.4863	2507714.1562	3296853.4062	3009050.5254	3042484.4082	2921082.7031	3268728.5430	3246986.3867	2783581.0645	3415603.2383	3609640.7324	4332821.3594	3337045.9648	3888158.1152	3490666.3223	2448607.8320	2312426.9414	2292893.5332
sp|O00287|RFXAP_HUMAN	O00287	RFXAP_HUMAN	RFXAP	272	Homo sapiens	Regulatory factor X-associated protein	1:Experimental evidence at protein level	16.18	1.0000	0.9990	4	4	4	4	4	4	11039026	11039026	11039026	10K(304.2071), 14K(304.2071), 21K(304.2071), N-term(304.2071)			252699.7617	239281.4570	329284.5312	315694.3047	305806.5234	300185.9219	317776.5938	304422.9922	278224.9336	358690.0703	365640.3828	476008.1719	349705.8594	404107.5859	382322.1562	225523.3672	217387.8398	234834.0547
sp|O00291|HIP1_HUMAN	O00291	HIP1_HUMAN	HIP1	1037	Homo sapiens	Huntingtin-interacting protein 1	1:Experimental evidence at protein level	15.04	1.0000	0.9990	19	18	19	27	26	27	491071104	491071104	491071104	10K(304.2071), 1K(304.2071), 2C(57.0214), 2K(304.2071), 2M(15.9949), 3K(304.2071), 3M(15.9949), 4M(15.9949), 7K(304.2071), 7M(15.9949), 8K(304.2071), N-term(304.2071)			5548454.5557	5191495.2090	6493621.6699	6077788.0469	6142106.9990	6128372.1855	6605407.0547	6574460.7285	5724819.8203	5917122.0117	6469590.1035	7396211.7559	5981231.7998	6793091.8535	6395260.9922	4995844.9932	4468432.7910	4721232.4775
sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	Homo sapiens	Chloride intracellular channel protein 1	1:Experimental evidence at protein level	37.76	1.0000	0.9990	8	8	8	30	30	30	638145872	638145872	638145872	12K(304.2071), 22K(304.2071), 2C(57.0214), 7K(304.2071), 8C(57.0214), 9K(304.2071), N-term(304.2071), N-term(42.0106)			5707709.6309	5409773.5410	6885351.7812	6699707.9141	6597433.4961	6531804.7461	6714363.4434	6768987.8730	5724395.7930	6759246.4043	7210239.0977	8755637.6133	7010213.3652	7948971.8242	7276077.8848	4922097.4844	4456803.1387	4608645.9512
sp|O00303|EIF3F_HUMAN	O00303	EIF3F_HUMAN	EIF3F	357	Homo sapiens	Eukaryotic translation initiation factor 3 subunit F	1:Experimental evidence at protein level	30.53	1.0000	0.9990	10	10	10	49	49	49	1080089216	1080089216	1080089216	11K(304.2071), 12K(304.2071), 2C(57.0214), 2M(15.9949), 3M(15.9949), 5M(15.9949), 7K(304.2071), 7M(15.9949), 8K(304.2071), N-term(304.2071)			22545561.3770	21172088.6875	27958473.9297	26088799.0547	24767967.8105	24106300.0352	26404641.6367	26707164.8164	23222316.5625	28238015.2969	28434534.2266	34470309.4219	23100953.0586	27823805.5820	25150091.7969	18326975.4824	16933840.6953	17702376.0918
sp|O00308|WWP2_HUMAN	O00308	WWP2_HUMAN	WWP2	870	Homo sapiens	NEDD4-like E3 ubiquitin-protein ligase WWP2	1:Experimental evidence at protein level	22.87	1.0000	0.9990	20	14	20	30	19	30	130148084	124343540	130148084	10K(304.2071), 13K(304.2071), 16K(304.2071), 17K(304.2071), 3C(57.0214), 4M(15.9949), 5K(304.2071), 7K(304.2071), 7M(15.9949), 8C(57.0214), 9C(57.0214), 9K(304.2071), N-term(304.2071)			5109258.3965	4824110.2344	6357745.8008	5692203.7969	5725598.8770	5686191.3164	6082978.7988	5910015.8945	5025829.2031	6319011.0820	6820205.5586	8267158.5430	7058430.7480	7825343.1133	7276744.6699	4382124.8359	3844215.3389	3909721.4902
sp|O00330|ODPX_HUMAN	O00330	ODPX_HUMAN	PDHX	501	Homo sapiens	Pyruvate dehydrogenase protein X component, mitochondrial	1:Experimental evidence at protein level	13.37	1.0000	0.9990	6	6	6	10	10	10	121116076	121116076	121116076	10K(304.2071), 12C(57.0214), 19K(304.2071), 7K(304.2071), 8K(304.2071), N-term(304.2071)			4933197.5938	4709272.9336	5902556.0547	5319910.4648	5342251.4453	5302270.2930	5719065.6055	5695082.9805	4818481.0625	5546232.3750	5898922.9961	6873464.3047	5312264.8984	6041163.3828	5568834.3828	2317164.5508	1956842.2988	2118764.6367
sp|O00399|DCTN6_HUMAN	O00399	DCTN6_HUMAN	DCTN6	190	Homo sapiens	Dynactin subunit 6	1:Experimental evidence at protein level	25.79	1.0000	0.9990	4	4	4	8	8	8	46423172	46423172	46423172	17M(15.9949), 18K(304.2071), 8C(57.0214), 9K(304.2071), N-term(304.2071)			1015979.2812	943733.6680	1276059.2031	1161697.4844	1147220.2578	1120554.3203	1182578.5391	1197846.5234	1050895.4453	1199633.8594	1260856.9922	1535446.3438	1147524.6250	1294383.2344	1183140.0391	784957.7070	745623.6953	755957.3477
sp|O00401|WASL_HUMAN	O00401	WASL_HUMAN	WASL	505	Homo sapiens	Neural Wiskott-Aldrich syndrome protein	1:Experimental evidence at protein level	25.35	1.0000	0.9990	12	12	12	16	16	16	209534268	209534268	209534268	11C(57.0214), 14K(304.2071), 1C(57.0214), 1K(304.2071), 4M(15.9949), 6C(57.0214), 8K(304.2071), 9K(304.2071), N-term(304.2071)			3082148.9316	2974973.6328	3902936.1035	3450028.0957	3401812.6348	3278176.2578	3774112.9785	3588591.7715	3136341.5547	3480368.4512	3745323.9219	4562853.8320	3382697.0762	3934266.0859	3688386.5137	2597750.4980	2416126.3574	2616770.3418
sp|O00409|FOXN3_HUMAN	O00409	FOXN3_HUMAN	FOXN3	490	Homo sapiens	Forkhead box protein N3	1:Experimental evidence at protein level	5.10	1.0000	0.9990	3	2	3	5	4	5	44756819	10808879	44756819	2C(57.0214), 7K(304.2071), 9K(304.2071), N-term(304.2071)			255506.0273	229448.3320	306614.9922	281739.8047	294814.3984	284279.2422	302416.4453	304633.5469	255208.6641	330288.6094	355922.2656	428630.9766	325200.6641	351315.9922	335375.9766	188094.4844	158578.1133	182129.8945
